wos_org,std_name,city,state,id
Olympus Corporation,,Irving,TX,
Ophthalmic Consultants of Boston,,Boston,MA,
Optum,,Eden Prairie,MN,
Oracle,,Redwood Shores,CA,
Ordway Research Institute,,Albany,NY,
Oregon Health & Science University,Oregon Health & Science University,Beaverton,OR,95132
Oregon National Primate Research Center,,Beaverton,OR,
Oregon Osteoporosis Center,,Portland,OR,
Oregon Research Institute,,Eugene,OR,
Oregon Social Learning Center,,Eugene,OR,
Oregon State University,Oregon State University,Corvallis,OR,95133
Oregon State University Cascades,Oregon State University,Bend,OR,95133
Orlando Immunology Center,,Orlando,FL,
Orlando Regional Medical Center,,Orlando,FL,
Osiris Therapeutics,,Baltimore,MD,
Osram,,San Jose,CA,
Otterbein University,,Westerville,OH,
Our Lady Lake Regional Medical Center,,Baton Rouge,LA,
Owens Community College,,Toledo,OH,
Pace University,,New York,NY,
Pacific Health Research & Education Institute,,Honolulu,HI,
Pacific Institute for Research & Evaluation (PIRE),,Berkeley,CA,
Pacific Northwest Diabetes Research Institute (PNDRI),,Seattle,WA,
Pacific Northwest National Laboratory,,Richland,WA,
Pain Management Center of Paducah,,Paducah,KY,
Palo Alto Medical Foundation Research Institute,,Palo Alto,CA,
Pan American Health Organization,,Washington,DC,
Pardee RAND Graduate School,,Santa Monica,CA,
Park Nicollet Clinic,,Minneapolis,MN,
Partners Healthcare System,,Boston,MA,
Paul I Terasaki Foundation Laboratory,,Los Angeles,CA,
Penn State Health,University of Pennsylvania,Hershey,PA,95237
Pennington Biomedical Research Center,,Baton Rouge,LA,
Pennsylvania Commonwealth System of Higher Education (PCSHE),,Pittsburgh,PA,
Pennsylvania Presbyterian Medical Center,,Philadelphia,PA,
Pennsylvania State System of Higher Education (PASSHE),,Indiana,PA,
Pennsylvania State University,Pennsylvania State University,University Pk,PA,95135
Pennsylvania State University - University Park,Pennsylvania State University,University Pk,PA,95135
Pepperdine University,,Malibu,CA,
Permanente Medical Groups,,Denver,CO,
Peru State College,,Peru,NE,
Peterson Institute for International Economics,,Washington,DC,
Pfizer,,Kalamazoo,MI,
PhenoPath Laboratories,,Seattle,WA,
Philadelphia General Hospital,,PHILADELPHIA,PA,
Philadelphia Veterans Affairs Medical Center,,Philadelphia,PA,
Phoenix Children's Hospital,,Phoenix,AZ,
Piedmont Heart Institute,,Atlanta,GA,
"Pioneer Hi-Bred International, Inc.",,Johnston,IA,
Pittsburg State University,,Pittsburg,KS,
Pitzer College,,Claremont,CA,
Plexxikon,,Berkeley,CA,
Plymouth State University,,Plymouth,NH,
Polyera,,Skokie,IL,
Polytechnic University Puerto Rico,,Brooklyn,NY,
Pomona College,,Claremont,CA,
Pontifical Catholic University of Puerto Rico,,Ponce,PR,
Population Council,,New York,NY,
Portland State University,Portland State University,Portland,OR,95137
Portland VA Medical Center,,Portland,OR,
Prairie View A&M University,,Prairie View,TX,
Princeton Plasma Physics Laboratory,,Princeton,NJ,
Princeton University,Princeton University,Princeton,NJ,95138
Procter & Gamble,,Mason,OH,
Program in Cellular & Molecular Medicine (PCMM),,Boston,MA,
Providence Portland Medical Center,Providence Health & Services,Portland,OR,20140302
Providence VA Medical Center,,Providence,RI,
Public Health Institute,,Berkeley,CA,
Puget Sound Blood Center,,Seattle,WA,
Purdue University,Purdue University,W Lafayette,IN,95139
Purdue University Calumet,Purdue University,Hammond,IN,95139
Purdue University North Central,Purdue University,WESTVILLE,IN,95139
Purdue University System,Purdue University,W Lafayette,IN,95139
Qualcomm,,San Diego,CA,
Queens College NY (CUNY),CUNY,Flushing,NY,95077
Quinnipiac University,,New Haven,CT,
RAND Corporation,,Santa Monica,CA,
Radiation Therapy Oncology Group (RTOG),,Philadelphia,PA,
Radiological & Environmental Sciences Laboratory,,Idaho Falls,ID,
Radiological Associates of Sacramento,,Sacramento,CA,
Rady Childrens Hospital San Diego,,San Diego,CA,
Ragon Institute,,Boston,MA,
Rainbow Babies & Children's Hospital,,Cleveland,OH,
Ralph H Johnson VA Medical Center,,Charleston,SC,
Raychem Corporation,,MENLO PK,CA,
Reckitt Benckiser,,Richmond,VA,
Reed College - Oregon,,Portland,OR,
Regeneron,,Tarrytown,NY,
Regenstrief Institute Inc,,Indianapolis,IN,
Regis University,,Denver,CO,
Renal Research Institute,,Valhalla,NY,
Rensselaer Polytechnic Institute,Rensselaer,Troy,NY,95142
ReproMed Fertility Center,,Dallas,TX,
Reproductive Medicine Associates of New Jersey,,Morristown,NJ,
ResMed,,Poway,CA,
Research Institute at Nationwide Children's Hospital,Nationwide Children's Hospital,Columbus,OH,20140305
Research Institute of Chemical Defense - China,,Aberdeen Proving Ground,MD,
Research Triangle Institute,,Res Triangle Pk,NC,
Resources for the Future,,Washington,DC,
Retina Foundation of the Southwest,,Dallas,TX,
Retina Vitreous Associates Medical Group,,Los Angeles,CA,
Rho,,Chapel Hill,NC,
Rhode Island Hospital,Rhode Island Hospital,Providence,RI,95146
Rhodes State College,,Lima,OH,
Rice University,Rice University,Houston,TX,95147
Richard L. Roudebush VA Medical Center,,Indianapolis,IN,
Rider University,,Lawrenceville,NJ,
Robert H. Lurie Comprehensive Cancer Center,,Chicago,IL,
Robert Wood Johnson Foundation (RWJF),,San Francisco,CA,
Rochester General Hospital,,Rochester,NY,
Rochester Institute of Technology,Rochester Inst,Rochester,NY,95148
Rockefeller University,Rockefeller University,New York,NY,95149
Rockwell Collins,,Thousand Oaks,CA,
Rocky Mountain Cancer Centers,,Denver,CO,
Rocky Mountain University Health Professions,,Provo,UT,
Roger Williams Medical Center,,Providence,RI,
Rollins College,,Winter Pk,FL,
Rollins School Public Health,,Atlanta,GA,
Ronald Reagan UCLA Medical Center,,Los Angeles,CA,
Rosalind Franklin University Medical & Science,Rosalind Franklin University,Abbott Pk,IL,20160317
Rose Hulman Institute Technology,,Terre Haute,IN,
Roswell Park Cancer Institute,,Buffalo,NY,
Rothman Institute,,Philadelphia,PA,
Rowan University,Rowan University,Glassboro,NJ,20160315
Rowan University School of Osteopathic Medicine,Rowan University,Cherry Hill,NJ,20160315
Rush University,Rush University,Chicago,IL,20000016
Rutgers Cancer Institute of New Jersey,Rutgers,Piscataway,NJ,95150
Rutgers State University Camden,Rutgers,Camden,NJ,95150
Rutgers State University Medical Center,Rutgers,New Brunswick,NJ,95150
Rutgers State University New Brunswick,Rutgers,New Brunswick,NJ,95150
Rutgers State University Newark,Rutgers,Newark,NJ,95150
SAIC-Frederick,,Ft Detrick,MD,
SAS Institute Inc,,Cary,NC,
SC Johnson & Son,,Racine,WI,
SENS Research Foundation,,Sunnyvale,CA,
SLAC National Accelerator Laboratory,,Stanford,CA,
SRA International,,Fairfax,VA,
SRI International,SRI International,Menlo Pk,CA,95163
SUNY Canton,SUNY,Canton,NY,95168
SUNY Cobleskill,SUNY,Cobleskill,NY,95168
SUNY Cortland,SUNY,Cortland,NY,95168
SUNY Delhi,SUNY,Delhi,NY,95168
SUNY Empire State College,SUNY,Rochester,NY,95168
SUNY Fredonia,SUNY,Fredonia,NY,95168
SUNY Geneseo,SUNY,Geneseo,NY,95168
SUNY Maritime College,SUNY,Northport,NY,95168
SUNY New Paltz,SUNY,New Paltz,NY,95168
SUNY Old Westbury,SUNY,Old Westbury,NY,95168
SUNY Oneonta,SUNY,Oneonta,NY,95168
SUNY Optometry,SUNY,New York,NY,95168
SUNY Plattsburgh,SUNY,Plattsburgh,NY,95168
SUNY Polytechnic Institute,SUNY,Albany,NY,95168
SUNY Potsdam,SUNY,POTSDAM,NY,95168
SUNY Purchase College,SUNY,Purchase,NY,95168
Sage Group,,Madison,WI,
Saint Alphonsus Regional Medical Center,,Boise,ID,
Saint Barnabas Hospital,,Bronx,NY,
Saint Charles Borromeo Seminary,,PHILADELPHIA,PA,
Saint Cloud State University,,St Cloud,MN,
Saint David's Medical Center,,Austin,TX,
Saint Francis Hospital & Medical Center,,Hartford,CT,
Saint John's University,,Jamaica,NY,
Saint Johns Mercy Medical Center,,St Louis,MO,
Saint Johns University Collegeville,,St Joseph,MN,
Saint Joseph Mercy Health System (SJMHS),,Ann Arbor,MI,
Saint Joseph's University,,Philadelphia,PA,
Saint Lawrence University,,Canton,NY,
Saint Louis University,Saint Louis University,St Louis,MO,96025
Saint Luke's Hospital - Missouri,,Kansas City,MO,
Saint Luke's Mid America Heart Institute,,Kansas City,MO,
Saint Lukes Episcopal Hospital,,Houston,TX,
Saint Mary Seminary & Graduate School of Theology,,Cleveland,OH,
Saint Mary's College of California,,Moraga,CA,
Saint Olaf College,,Northfield,MN,
Saint Paul Ramsey Medical Center,,St Paul,MN,
Saint Peter's University Hospital,,New Brunswick,NJ,
Saint Thomas Hospital,,Nashville,TN,
Saint Vincents Hospital Manhattan,,New York,NY,
Salem State University,,Salem,MA,
Salem Veterans Affairs Medical Center,,Salem,VA,
Salisbury University,,Salisbury,MD,
Salk Institute,Salk Institute,La Jolla,CA,95152
Sam Houston State University,,Huntsville,TX,
Samuel Merritt University,,Oakland,CA,
San Antonio Military Medical Center,,Ft Sam Houston,TX,
San Diego State University,San Diego State University,Minneapolis,MN,95154
San Francisco Department of Public Health,,San Francisco,CA,
San Francisco General Hospital Medical Center,,San Francisco,CA,
San Francisco State University,,Tiburon,CA,
San Francisco VA Medical Center,,San Francisco,CA,
San Jose State University,,San Jose,CA,
Sandia National Laboratory,,Albuquerque,NM,
Sandoz,,Dayton,NJ,
Sanford Burnham Prebys Medical Discovery Institute,Sanford Burnham,La Jolla,CA,95021
Sanford Health,,Sioux Falls,SD,
Sanofi-Aventis,,Bridgewater,MA,
Santa Barbara Cottage Hospital,,Santa Barbara,CA,
Santa Clara University,,Santa Clara,CA,
Santa Clara Valley Medical Center,,San Jose,CA,
Santa Monica College,,Santa Monica,CA,
Sarah Cannon Research Institute,,Nashville,TN,
Sarah Lawrence College,,New York,NY,
Savannah College of Art & Design,,Savannah,GA,
Savannah River Ecology Laboratory,,Aiken,SC,
Savannah River National Laboratory,,Aiken,SC,
Savannah State University,,Savannah,GA,
Schepens Eye Research Institute,Schepens Eye,Boston,MA,96022
Schering Plough Corporation,,Kenilworth,NJ,
Schering-Plough Research Institute,,Kenilworth,NJ,
Schneider Electric,,La Vergne,TN,
School of the Art Institute of Chicago,,Chicago,IL,
Science Applications International Corporation (SAIC),,Ft Detrick,MD,
Science Systems and Applications Inc,,Lanham,MD,
"Scientific Consulting Group, Inc.",,Gaithersburg,MD,
Scios,,Fremont,CA,
Scott & White Medical Center,,Temple,TX,
Scottsdale Healthcare Osborn,,Scottsdale,AZ,
Scripps College,,Claremont,CA,
Scripps Research Institute,Scripps Research,La Jolla,CA,95156
Seagate Technology,,Pittsburgh,PA,
Seattle Cancer Care Alliance,,Seattle,WA,
Seattle Children's Hospital,Seattle Children's,Seattle,WA,20160314
Seattle Genetics,,Bothell,WA,
Seattle Rheumatology Associates,,Seattle,WA,
Seattle University,,Seattle,WA,
Sentara Healthcare,,Virginia Beach,VA,
Sequenom,,San Diego,CA,
Seton Hall University,,S Orange,NJ,
Severstal,,Dearborn,MI,
Sewanee: University of the South,,Sewanee,TN,
Sharp Memorial Hospital Rehabilitation & Physical Therapy,,San Diego,CA,
Shawnee State University,,Portsmouth,OH,
Shell Oil Company,,Houston,TX,
Shippensburg University of Pennsylvania,,Shippensburg,PA,
Shire Pharmaceuticals Limited,,Cambridge,MA,
Shirley Ryan AbilityLab,,Chicago,IL,
Shriners Hospitals Children Philadelphia,,Philadelphia,PA,
Siemens AG,,Princeton,NJ,
Sigma Aldrich,,St Louis,MO,
Simmons University,,Boston,MA,
Sinai Center Thrombosis Research,,Baltimore,MD,
Sinai Hospital of Baltimore,,Baltimore,MD,
Sinclair Community College,,Dayton,OH,
Siteman Cancer Center,,St Louis,MO,
Skidaway Institute of Oceanography,,Savannah,GA,
Skidmore College,,Saratoga Springs,NY,
Slippery Rock University - Pennsylvania,,Slippery Rock,PA,
Smith & Nephew,,Largo,FL,
Smith College,,Northampton,MA,
Smithsonian Astrophysical Observatory,,Cambridge,MA,
Smithsonian Environmental Research Center,,Edgewater,MD,
Smithsonian Institution,,Cambridge,MA,
Smithsonian National Museum of Natural History,,Ft Pierce,FL,
Smithsonian National Zoological Park & Conservation Biology Institute,,Front Royal,VA,
Social & Scientific Systems,,Silver Spring,MD,
Society of Thoracic Surgeons,,Chicago,IL,
Sonoma State University,,Rohnert Pk,CA,
Sophie Davis School of Biomedical Education,,New York,NY,
South Carolina State University,,Orangeburg,SC,
South Dakota School Mines & Technology,,Rapid City,SD,
South Dakota State University,South Dakota State University,Brookings,SD,20100282
South Florida Water Management District,,W Palm Beach,FL,
South Georgia State College,,Douglas,GA,
Southeastern Louisiana University,,Mandeville,LA,
Southern Agricultural Research & Extension Center,,Baton Rouge,LA,
Southern Arizona Veterans Affairs Health Care System,,Tucson,AZ,
Southern California Coastal Water Research Project,,Westminster,CA,
Southern California Permanente Medical Group (SCPMG),,Bellflower,CA,
Southern Connecticut State University,,Storrs,CT,
Southern Illinois University,Southern Illinois University,Carbondale,IL,95161
Southern Illinois University Edwardsville,Southern Illinois University,Edwardsville,IL,95161
Southern Illinois University System,Southern Illinois University,Carbondale,IL,95161
Southern Methodist University,Southern Methodist University,Dallas,TX,98005
Southern Oregon University,,Ashland,OR,
Southern Polytechnic State University,,Marietta,GA,
Southern State Community College,,Hillsboro,OH,
Southern University & A&M College,,Baton Rouge,LA,
Southern University New Orleans,,New Orleans,LA,
Southern University Shreveport,,Shreveport,LA,
Southern University System,,Baton Rouge,LA,
Southern Utah University,,Cedar City,UT,
Southwest (Texas),,Burleson,TX,
Southwest Hospital (Texas),,Burleson,TX,
Southwest Oncology Group,,Seattle,WA,
Southwest Research Institute,,San Antonio,TX,
Southwestern Minnesota State University,,Marshall,MN,
Space Telescope Science Institute,,Baltimore,MD,
Spallation Neutron Source,,Oak Ridge,TN,
Spaulding Rehabilitation Hospital,,Boston,MA,
Spelman College,,Atlanta,GA,
Springfield College,,Springfield,MA,
St Jude Children's Research Hospital,Jude Children's,Memphis,TN,95164
St. Elizabeth's Medical Center,Elizabeth's Medical Center,Boston,MA,96039
St. Francis Hospital - Oklahoma,,Tulsa,OK,
St. George's University,,Grenada,WI,
St. John Hospital & Medical Center,,Southfield,MI,
St. Joseph's Hospital and Medical Center,,Phoenix,AZ,
St. Jude Medical,,Minnetonka,MN,
St. Louis Children's Hospital,,St Louis,MO,
St. Vincent's Medical Center,,BRIDGEPORT,CT,
Stamford Hospital,,Stamford,CT,
Stanford Cancer Institute,Stanford University,Stanford,CA,95165
Stanford University,Stanford University,Menlo Pk,CA,95165
Stark State College,,N Canton,OH,
State Library of Ohio,,COLUMBUS,OH,
State University System of Florida,,Gainesville,FL,
State University of New York (SUNY) - College at  Brockport,SUNY,BROCKPORT,NY,95168
State University of New York (SUNY) - Oswego,SUNY,Oswego,NY,95168
State University of New York (SUNY) Albany,SUNY,New Paltz,NY,95168
State University of New York (SUNY) Binghamton,SUNY,Binghamton,NY,95168
State University of New York (SUNY) Buffalo,SUNY,Buffalo,NY,95168
State University of New York (SUNY) College of Environmental Science & Forestry,SUNY,Syracuse,NY,95168
State University of New York (SUNY) Downstate Medical Center,SUNY,Brooklyn,NY,95168
State University of New York (SUNY) Stony Brook,SUNY,Stony Brook,NY,95168
State University of New York (SUNY) System,SUNY,Buffalo,NY,95168
State University of New York (SUNY) Upstate Medical Center,SUNY,Syracuse,NY,95168
Steadman Philippon Research Institute,,Vail,CO,
Steven & Alexandra Cohen Children's Medical Center of New York,,New Hyde Pk,NY,
Stevens Institute of Technology,Stevens Inst,Hoboken,NJ,95166
Stony Brook University Hospital,,Stony Brook,NY,
Stowers Institute for Medical Research,,Kansas City,MO,
Subaru Corporation,,Ann Arbor,MI,
Sud Chemie AG,,Louisville,KY,
Suffolk University,,Boston,MA,
Summa Health System,,Akron,OH,
Swarthmore College,,Swarthmore,PA,
Swedish Cancer Institute,,Seattle,WA,
Swedish Medical Center,,Seattle,WA,
Symantec,,Cupertino,CA,
Synopsys Inc,,Hillsboro,OR,
Syntex Corporation,,PALO ALTO,CA,
Syracuse University,Syracuse University,Syracuse,NY,95169
Takeda Pharmaceutical Company Ltd,,Cambridge,MA,
Tampa General Hospital,,Tampa,FL,
Telcordia Technologies,,Piscataway,NJ,
Temple University,Temple University,Philadelphia,PA,95170
Tennessee Department Health,,Nashville,TN,
Tennessee Heart & Vascular,,Hendersonville,TN,
Tennessee Oncology,,Nashville,TN,
Tennessee State University,,Nashville,TN,
Tennessee Technological University,,Cookeville,TN,
Tennessee Valley Authority,,Nashville,TN,
Terra State Community College,,Fremont,OH,
Texas A&M AgriLife Research,Texas A&M University,Temple,TX,95171
Texas A&M Engineering Experimental Station,Texas A&M University,Houston,TX,95171
Texas A&M Health Science Center,Texas A&M University,Houston,TX,95171
Texas A&M University College Station,Texas A&M University,College Stn,TX,95171
Texas A&M University Commerce,Texas A&M University,College Stn,TX,95171
Texas A&M University Corpus Christi,Texas A&M University,Corpus Christi,TX,95171
Texas A&M University Kingsville,Texas A&M University,Kingsville,TX,95171
Texas A&M University San Antonio,Texas A&M University,San Antonio,TX,95171
Texas A&M University System,Texas A&M University,College Stn,TX,95171
Texas A&M University Texarkana,Texas A&M University,Texarkana,TX,95171
Texas Biomedical Research Institute,,San Antonio,TX,
Texas Children's Cancer Center,,Houston,TX,
Texas Christian University,,Ft Worth,TX,
Texas Department of State Health Services,,El Paso,TX,
Texas Health Huguley Hospital,,Burleson,TX,
Texas Heart Institute,,Houston,TX,
Texas Instruments,,Dallas,TX,
Texas Oncology,,Dallas,TX,
Texas Oncology-Baylor Charles A Sammons Cancer Center,,Houston,TX,
Texas Scottish Rite Hospital for Children,,Dallas,TX,
Texas Southern University,,Houston,TX,
Texas State University San Marcos,,San Marcos,TX,
Texas State University System,,San Marcos,TX,
Texas Tech University,Texas Tech University,Lubbock,TX,95172
Texas Tech University Health Science Center,Texas Tech University,Amarillo,TX,95172
Texas Tech University Health Sciences Center Amarillo,Texas Tech University,Amarillo,TX,95172
Texas Tech University System,Texas Tech University,Lubbock,TX,95172
Texas Womans University,,Denton,TX,
The Academic-Industry Research Network (theAIRnet),,Cambridge,MA,
The Coca-Cola Company,,Atlanta,GA,
The Franklin Institute,,SWARTHMORE,PA,
The Hamner Institutes for Health Sciences,,Res Triangle Pk,NC,
The J David Gladstone Institutes,,San Francisco,CA,
"The John B Pierce Laboratory, Inc",,New Haven,CT,
The Methodist Hospital - Houston,,Houston,TX,
The Methodist Hospital Research Institute,,Houston,TX,
The Methodist Hospital System,,Houston,TX,
The Molecular Sciences Institute,,Berkeley,CA,
"The Morgridge Institute for Research, Inc.",,Madison,WI,
The National Evolutionary Synthesis Center,,Durham,NC,
The New School,,New York,NY,
The New York Stem Cell Foundation,,New York,NY,
The Queen's Medical Center,,Honolulu,HI,
The Santa Fe Institute,,Santa Fe,NM,
The Smith-Kettlewell Eye Research Institute,,San Francisco,CA,
The Wistar Institute,Wistar Inst,Philadelphia,PA,95279
The World Bank,,Washington,DC,
Theravance,,San Francisco,CA,
Thermo Fisher Scientific,,Foster City,CA,
Thomas Jefferson University,Thomas Jefferson University,Wilmington,DE,95173
Thoratec,,Burlington,MA,
Tiffin University,,Tiffin,OH,
Time Warner Inc,,Dulles,VA,
"Torrey Pines Institute for Molecular Studies, California",Torrey Pines Inst,San Diego,CA,96027
"Torrey Pines Institute for Molecular Studies, Florida",Torrey Pines Inst,Port St Lucie,FL,96027
Touro University California,,Vallejo,CA,
Towson University,,Towson,MD,
Toyota Technological Institute - Chicago,,Chicago,IL,
Translational Genomics Research Institute,,Phoenix,AZ,
Transurban Group,,Alexandria,VA,
Trinity College,,Hartford,CT,
Trinity Lutheran Seminary,,Columbus,OH,
Troy University,,Montgomery,AL,
Troy University Dothan,,Dothan,AL,
Troy University Montgomery,,Montgomery,AL,
Troy University Phenix City,,Phenix City,AL,
Troy University System,,Montgomery,AL,
Truckee Meadows Community College,,Reno,NV,
Trudeau Institute,,Saranac Lake,NY,
Tufts Medical Center,Tufts Medical Center,Boston,MA,95115
Tufts University,Tufts University,Medford,MA,95175
Tulane University,Tulane University,New Orleans,LA,95176
Tuskegee University,,Tuskegee,AL,
U.S. Army Corps of Engineers,,Champaign,IL,
U.S. Army Engineer Research & Development Center (ERDC),,Champaign,IL,
UCLA Jonsson Comprehensive Cancer Center,,Los Angeles,CA,
UCSF Benioff Children's Hospital Oakland,Children's Hospital Oakland,Oakland,CA,95036
UCSF Helen Diller Family Comprehensive Cancer Center,,San Francisco,CA,
UNICEF,,New York,NY,
UPMC Presbyterian,,Pittsburgh,PA,
US Air Force Research Laboratory,,Wright Patterson AFB,OH,
US Army Aeromedical Research Laboratory,,Ft Rucker,AL,
US Army Medical Research Directorate Kenya (USAMRU-K),,Pittsburgh,PA,
US Army Research Laboratory (ARL),,Res Triangle Pk,NC,
"US Army Research, Development & Engineering Command (RDECOM)",,Res Triangle Pk,NC,
US Department of Education,,Washington,DC,
US Department of Veteran Affairs,,Philadelphia,PA,
US Department of Veterans Affairs,,Tucson,AZ,
US Fish & Wildlife Service,,Longview,WA,
US Food & Drug Administration (FDA),,Rockville,MD,
US Navy Naval Air Systems Command,,Patuxent River,MD,
US Navy Naval Sea Systems Command,,Bethesda,MD,
US Oncology Network,,San Antonio,TX,
UT Institute of Agriculture,University of Tennessee,Knoxville,TN,95245
UTMD Anderson Cancer Center,Anderson Cancer Center,Houston,TX,96041
Uniformed Services University of the Health Sciences - USA,,Bethesda,MD,
Union Carbide Corporation,,Danbury,CT,
Union College,,Schenectady,NY,
Union Institute,,Cincinnati,OH,
Union Memorial Hospital,,Baltimore,MD,
United Biosource Corporation,,Bethesda,MD,
United Network for Organ Sharing,,Richmond,VA,
United Parcel Service,,Louisville,KY,
United States Agency for International Development (USAID),,Washington,DC,
United States Air Force,,Dayton,OH,
United States Air Force Academy,,Colorado Springs,CO,
United States Army,,West Point,NY,
United States Army Medical Research Institute of Infectious Diseases,,Frederick,MD,
United States Department of Agriculture (USDA),,Davis,CA,
United States Department of Defense,,Dayton,OH,
United States Department of Energy (DOE),,Richland,WA,
United States Department of Labor,,Washington,DC,
United States Department of the Interior,,Laurel,MD,
United States Environmental Protection Agency,,Cincinnati,OH,
United States Forest Service,,Placerville,CA,
United States Geological Survey,,Laurel,MD,
United States Health Resources & Service Administration (HRSA),,Rockville,MD,
United States Military Academy,,West Point,NY,
United States Naval Academy,,Annapolis,MD,
United States Navy,,Washington,DC,
United States Public Health Service,,Atlanta,GA,
United Technologies Corporation,,E Hartford,CT,
UnitedHealth Group Incorporated,,Eden Prairie,MN,
Universidad Central de Bayamon,,Bayamon,PR,
Universidad Metropolitana (UMET),,San Juan,PR,
Universities Space Research Association (USRA),,Huntsville,AL,
University Arkansas Monticello,,Monticello,AR,
University Arkansas Pine Bluff,,Pine Bluff,AR,
University Hawaii Hilo,University of Hawaii,Hilo,HI,95200
University Hawaii West O'ahu,University of Hawaii,West Oahu,HI,95200
University Hospitals of Cleveland,Case Western,Cleveland,OH,95029
University Massachusetts Dartmouth,University of Massachusetts,N Dartmouth,MA,95213
University Massachusetts Worcester Hospital,University of Massachusetts,Worcester,MA,95213
University Minnesota Crookston,University of Minnesota,Crookston,MN,95219
University Norte Parana,,Londrina,PR,
University North Carolina Hospital,University of North Carolina Chapel Hill,Chapel Hill,NC,95230
University System Of New Hampshire,,Durham,NH,
University System of Georgia,,Atlanta,GA,
University System of Maryland,University System of Maryland,Baltimore,MD,20100271
University Wisconsin Health,University of Wisconsin Madison,Madison,WI,95272
University of Akron,University of Akron,Akron,OH,95180
University of Alabama Birmingham,University of Alabama Birmingham,Birmingham,AL,95182
University of Alabama Huntsville,University of Alabama Huntsville,Huntsville,AL,95181
University of Alabama System,University of Alabama,Birmingham,AL,20070261
University of Alabama Tuscaloosa,University of Alabama,Tuscaloosa,AL,20070261
University of Alaska Anchorage,University of Alaska Anchorage,Anchorage,AK,20120292
University of Alaska Fairbanks,University of Alaska Fairbanks,Fairbanks,AK,20100285
University of Alaska Southeastern,University of Alaska,Juneau,AK,95183
University of Alaska System,University of Alaska,Fairbanks,AK,95183
University of Arizona,University of Arizona,Tucson,AZ,95185
University of Arizona Health Sciences,University of Arizona,Tucson,AZ,95185
University of Arkansas Fayetteville,University of Arkansas Fayetteville,Fayetteville,AR,95186
University of Arkansas Fort Smith,,Ft Smith,AR,
University of Arkansas Little Rock,,Little Rock,AR,
University of Arkansas Medical Sciences,University of Arkansas Medical,Little Rock,AR,97013
University of Arkansas System,,Fayetteville,AR,
University of Baltimore,,Baltimore,MD,
University of Bridgeport,,Bridgeport,CT,
University of California Berkeley,University of California,Berkeley,CA,95188
University of California Davis,University of California,Davis,CA,95188
University of California Irvine,University of California,Long Beach,CA,95188
University of California Los Angeles,University of California,Los Angeles,CA,95188
University of California Los Angeles Medical Center,University of California,Los Angeles,CA,95188
University of California Merced,University of California,Merced,CA,95188
University of California Riverside,University of California,Riverside,CA,95188
University of California San Diego,University of California,La Jolla,CA,95188
University of California San Francisco,University of California,San Francisco,CA,95188
University of California San Francisco at Fresno,University of California,Fresno,CA,95188
University of California Santa Barbara,University of California,Santa Barbara,CA,95188
University of California Santa Cruz,University of California,Santa Cruz,CA,95188
University of California System,University of California,Long Beach,CA,95188
University of Central Arkansas,,Conway,AR,
University of Central Florida,University of Central Florida,Orlando,FL,95189
University of Central Oklahoma,,Edmond,OK,
University of Chicago,University of Chicago,Batavia,IL,95190
University of Chicago Medical Center,University of Chicago,Chicago,IL,95190
University of Cincinnati,University of Cincinnati,Cincinnati,OH,95191
University of Colorado Anschutz Medical Campus,University of Colorado,Denver,CO,95192
University of Colorado Boulder,University of Colorado,Boulder,CO,95192
University of Colorado Denver,University of Colorado Denver,Denver,CO,20160312
University of Colorado Hospital,University of Colorado,Denver,CO,95192
University of Colorado System,University of Colorado,Boulder,CO,95192
University of Colorado at Colorado Springs,University of Colorado,Colorado Springs,CO,95192
University of Connecticut,University of Connecticut,Farmington,CT,95193
University of Dayton,University of Dayton,Dayton,OH,95194
University of Delaware,University of Delaware,Newark,DE,95195
University of Denver,University of Denver,Denver,CO,95196
University of Detroit Mercy,,Detroit,MI,
University of Findlay,,Findlay,OH,
University of Florida,University of Florida,Gainesville,FL,95197
University of Georgia,University of Georgia,Athens,GA,95198
University of Great Falls,,Great Falls,MT,
University of Guam,,Mangilao,GU,
University of Hartford,,Hartford,CT,
University of Hawaii Manoa,University of Hawaii,Honolulu,HI,95200
University of Hawaii System,University of Hawaii,Honolulu,HI,95200
University of Houston,University of Houston,Houston,TX,95201
University of Houston Clear Lake,University of Houston,Houston,TX,95201
University of Houston Downtown,University of Houston,Houston,TX,95201
University of Houston System,University of Houston,Houston,TX,95201
University of Houston Victoria,University of Houston,Victoria,TX,95201
University of Idaho,University of Idaho,Moscow,ID,95078
University of Illinois Chicago,University of Illinois,Chicago,IL,95202
University of Illinois Chicago Hospital,University of Illinois,Chicago,IL,95202
University of Illinois Medical Center at Chicago,University of Illinois,Chicago,IL,95202
University of Illinois Peoria,University of Illinois,Peoria,IL,95202
University of Illinois Rockford,University of Illinois,Rockford,IL,95202
University of Illinois Springfield,University of Illinois,Springfield,IL,95202
University of Illinois System,University of Illinois,Urbana,IL,95202
University of Illinois Urbana-Champaign,University of Illinois Urbana,Urbana,IL,95203
University of Iowa,University of Iowa,Iowa City,IA,95204
University of Kansas,University of Kansas,Lawrence,KS,95205
University of Kansas Medical Center,University of Kansas Medical,Kansas City,KS,95283
University of Kentucky,University of Kentucky,Lexington,KY,95206
University of La Verne,,La Verne,CA,
University of Louisiana Lafayette,University of Louisiana Lafayette,Lafayette,LA,20140301
University of Louisiana Monroe,,Monroe,LA,
University of Louisiana System,,New Orleans,LA,
